Senator Eric Adams|06iB8Jj7h2e8p
|Eric Adams
Senator James Alesi|0gGSeKN2oN1LQ
|James Alesi
|Jim Alesi
Senator Joseph P Addabbo Jr|02VH4lA1wg9Er
|Joseph P. Addabbo
|Joseph Addabbo
Senator Anthony Avella|xxx
|Anthony Avella
|Tony Avella
Senator Gregory Ball|xxx
|Gregory Ball
Senator John Bonacic|09dPgIz3YE5YZ
|John Bonacic
Senator Neil Breslin|0fVBfwR8FT1xp
|Neil Breslin
Senator David Carlucci|xxx
|David Carlucci
Senator John DeFrancisco|08Ng5ua2sm6zm
|John DeFrancisco
Senator Ruben Diaz|0aFa3wy63g7rC
|Ruben Diaz
Senator Martin Malave Dilan|08z704341SdQr
|Martin Malave Dilan
|Martin Dilan
Senator Thomas Duane|0dHvdDtbw06iX
|Thomas Duane
|Tom Duane
Senator Adriano Espaillat|xxx
|Adriano Espaillat
Senator Hugh Farley|06wVccL8Kk3Kq
|Hugh Farley
Senator John Flanagan|02ttcmW9Mj1mV
|John Flanagan
Senator Charles Fuschillo|0duxec66VcbgC
|Charles Fuschillo
|Chuck Fuschillo
Senator Patrick Gallivan|xxx
|Patrick Gallivan
Senator Michael Gianaris|xxx
|Michael Gianaris
Senator Martin Golden|0bM60c735EgmG
|Martin Golden
Senator Joseph A. Griffo|03N08grddRdOd
|Joseph A. Griffo
|Joseph Griffo
Senator Mark Grisanti|xxx
|Mark Grisanti
Senator Kemp Hannon|0cLBaEBejCawi
|Kemp Hannon
Senator Ruth Hassell-Thompson|0bq2gjE1hSfWw
|Ruth Hassell-Thompson
Senator Shirley L. Huntley|01GVgJzgFI8Gb
|Shirley L. Huntley
|Shirley Huntley
Senator Owen Johnson|06xp0AFeAD8qp
|Owen Johnson
Senator Timothy Kennedy|xxx
|Timothy Kennedy
Senator Jeffrey Klein|0cXr31t3OP2FY
|Jeffrey Klein
|Jeff Klein
Senator Liz Krueger|0aqDf072jWgk1
|Liz Krueger
Senator Carl Kruger|09q76Vm4Kc5QU
|Carl Kruger
Senator Andrew Lanza|0c4V20rdLiar2
|Andrew Lanza
Senator Bill Larkin|04EX4OD0JS4CM
|Bill Larkin
Senator Kenneth LaValle|0d1vfGV31V0SQ
|Kenneth LaValle
|Ken LaValle
Senator Thomas W. Libous|0gtKduU3Cf1Pn
|Thomas W. Libous
|Thomas Libous
|Tom Libous
Senator Elizabeth O'C. Little|0eWE7gH9jIeik
|Elizabeth O'C. Little
|Elizabeth Little
Senator Carl Marcellino|05fn2yKcnG6ta
|Carl Marcellino
Senator Jack Martins|xxx
|Jack Martins
Senator George D Maziarz|0a9Xgs2e7U5oK
|George D. Maziarz
|George Maziarz
Senator Roy McDonald|0d5G7Wwfza1fb
|Roy McDonald
Senator Velmanette Montgomery|01GmeM31kb380
|Velmanette Montgomery
|Velma Montgomery
Senator Michael F. Nozzolio|05epeVufPd9eq
|Michael F. Nozzolio
|Michael Nozzolio
|Mike Nozzolio
Senator Thomas O'Mara|xxx
|Thomas O'Mara
Senator Suzi Oppenheimer|08gn7oibLt4qe
|Suzi Oppenheimer
Senator Kevin S. Parker|0g24dGY1freHQ
|Kevin S. Parker
|Kevin Parker
Senator Jose R. Peralta|xxx
|Jose R. Peralta
Senator Bill Perkins|0gN75cE12Xba6
|Bill Perkins
Senator Michael H. Ranzenhofer|00Tjg1E1AR3Pz
|Michael H. Ranzenhofer
|Michael Ranzenhofer
|Mike Ranzenhofer
Senator Patricia Ritchie|xxx
|Patricia Ritchie
Senator Gustavo Rivera|xxx
|Gustavo Rivera
Senator Joseph Robach|02Aw62d0XSbAh
|Joseph Robach
|Joe Robach
Senator Stephen Saland|020bcHPaaI6Nk
|Stephen Saland
Senator John L. Sampson|07Ev3ef6qS6Os
|John L. Sampson
|John Sampson
Senator Diane Savino|0cs74rHc3T5Ez
|Diane Savino
Senator Jose Serrano|02JbaQMe7ybvt
|Jose Serrano
Senator James L. Seward|0fw702N8Elgvc
|James L. Seward
|James Seward
|Jim Seward
Senator Dean Skelos|05JOgrG3hN7P6
|Dean Skelos
Senator Malcolm A. Smith|00ozdZEerbfq9
|Malcolm A. Smith
|Malcolm Smith
Senator Daniel L. Squadron|08Esa0A9Ghc8z
|Daniel L. Squadron
|Daniel Squadron
Senator Toby Ann Stavisky|095yboE30Q2rI
|Toby Ann Stavisky
|Toby Stavisky
Senator Andrea Stewart-Cousins|0e8Q6Nr0jOc57
|Andrea Stewart-Cousins
Senator David J. Valesky|0e0w6e23sCbyR
|David J. Valesky
|David Valesky
Senator Catharine M. Young|0gQG7IBftDcLc
|Catharine M. Young
|Catharine Young
Senator Lee Zeldin|xxx
|Lee Zeldin
State Offices|LABEL
Governor Andrew M. Cuomo|xxx
|Governer Cuomo
|Andrew M. Cuomo
|Andrew Cuomo
Attorney Eric T. Schneiderman|0g152F3bGT2l6
|Eric T. Schneiderman
|Eric Schneiderman
State Comptroller Thomas P. DiNapoli|xxx
|Thomas P. DiNapoli
|Thomas DiNapoli
|Tom DiNapoli
Assembly Speaker Sheldon Silver|xxx
|Sheldon Silver
|Assemblyman Silver
|Shelly Silver
